,id,date,tweet,fav,label-classifier
29,29,2/22/2016 23:05,b'#DeadpoolMovie was too sick \xf0\x9f\x98\x82\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb @webbyam98',1,pos
30,30,2/22/2016 23:05,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
31,31,2/22/2016 23:05,"b""If you haven't yet, listen to our Deadpool Review! #Deadpoolmovie #review #SoundCloud  https://t.co/TBk4zM5rBS""",2,pos
32,32,2/22/2016 23:04,b'RT @weoverachieve: The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https:\xe2\x80\xa6',0,pos
33,33,2/22/2016 23:04,"b""@ItsNotRevenge @Master_Snow_ @mrjafri @The1stBAT @avgchick @Chrystaroth The movie's probably gonna make a lot of money #DeadpoolMovie ;)""",5,pos
34,34,2/22/2016 23:03,b'RT @InstallBase: One more thing about #DeadpoolMovie I  liked and think other mask wearing heroes like #SpiderMan should emulate. Animation\xe2\x80\xa6',0,pos
35,35,2/22/2016 23:00,b'One more thing about #DeadpoolMovie I  liked and think other mask wearing heroes like #SpiderMan should emulate. Animations around the eyes.',3,pos
36,36,2/22/2016 22:58,b'RT @Body_in_Mind: #DeadpoolMovie featured the best single shot in a movie since the Matrix &amp; was a helluva lot funnier.',0,pos
37,37,2/22/2016 22:57,b'#DeadpoolMovie featured the best single shot in a movie since the Matrix &amp; was a helluva lot funnier.',3,pos
38,38,2/22/2016 22:53,b'RT @smutpunk_author: Get https://t.co/3mz46j6S4S for free when it has a $5.99 value #DealoftheDay #DeadpoolMovie #TrumpUrbanLegends',0,pos
39,39,2/22/2016 22:51,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
40,40,2/22/2016 22:47,b'@TrueAchievement Finally completed #Deadpool. Actually enjoyed it more than #DeadpoolMovie! #Marvel #superhero #videogames #MilestoneMonday',1,pos
41,41,2/22/2016 22:44,b'The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https://t.co/aSWLdzRAf0',6,pos
42,42,2/22/2016 22:36,b'RT @MargieZGKETA: The different between #deadpoolmovie vs these other movies is that #DeadPool was more difficult to create.... https://t.c\xe2\x80\xa6',0,pos
43,43,2/22/2016 22:30,"b'RT @DinoMorea9: #DeadpoolMovie is just superb, must have been a riot writing this script...#Hilarious take on #SuperHeroes...'",0,pos
44,44,2/22/2016 22:27,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
45,45,2/22/2016 22:19,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0,pos
46,46,2/22/2016 22:14,b'RT @BlackPressMedia: B.C. movie tax breaks under scrutiny https://t.co/kmNZYb4P48 #bcpoli #DeadpoolMovie https://t.co/jpMxMP9nkM',0,pos
47,47,2/22/2016 22:14,b'B.C. movie tax breaks under scrutiny https://t.co/kmNZYb4P48 #bcpoli #DeadpoolMovie https://t.co/jpMxMP9nkM',0,pos
48,48,2/22/2016 22:02,"b""RT @TheHeungWeiLo: Debating if I should watch #DeadpoolMovie again\n\nHahaha. There was no debate silly! It's on like Donkey Kong dot com htt\xe2\x80\xa6""",0,pos
49,49,2/22/2016 21:47,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
50,50,2/22/2016 21:42,b'RT @GhanaSingsNet: #deadpool is the best #lovestory of all time.\n\n#comic #comics #deadpoolmovie #deadpoolcosplay #deadpoetssociety #lo\xe2\x80\xa6 htt\xe2\x80\xa6',0,pos
51,51,2/22/2016 21:40,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0,pos
52,52,2/22/2016 21:38,"b""RT @reeldudereviews: It's everything we dreamed and more. #Deadpool review is live! https://t.co/nO8Xc3PB6n #DeadpoolMovie https://t.co/wBm\xe2\x80\xa6""",0,pos
53,53,2/22/2016 21:33,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
54,54,2/22/2016 21:29,b'RT @JakePortis: Deadpool is bloody hilarious ... Great laugh ! You must watch it for bants ... #DeadpoolMovie #Ad',0,pos
55,55,2/22/2016 21:28,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
56,56,2/22/2016 21:27,"b""RT @AUfan1983: So I've seen #DeadpoolMovie 3 times..Its just as funny as it was the first time.  Definitely one of the best comic movies.""",0,pos
57,57,2/22/2016 21:24,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
58,58,2/22/2016 21:19,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
59,59,2/22/2016 21:14,b'#deadpool is the best #lovestory of all time.\n\n#comic #comics #deadpoolmovie #deadpoolcosplay #deadpoetssociety #lo\xe2\x80\xa6 https://t.co/HN3235JZQj',1,pos
60,60,2/22/2016 21:09,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
61,61,2/22/2016 21:09,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
62,62,2/22/2016 21:07,b'The different between #deadpoolmovie vs these other movies is that #DeadPool was more difficult to create.... https://t.co/MDtjKwhn94',2,pos
63,63,2/22/2016 21:07,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0,pos
64,64,2/22/2016 21:06,b'The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',12,pos
65,65,2/22/2016 21:02,"b""RT @rogersdoritos: W:  how you know that she's here?\nW: because i'm constantly stalking her fucks \n#DeadpoolMovie""",0,pos
66,66,2/22/2016 20:52,"b""RT @rogersdoritos: Omg I'm sorry and I'm so confuse , is sexist if I hit you or is sexist if I don't hit you , the line is pretty blur \n#De\xe2\x80\xa6""",0,pos
67,67,2/22/2016 20:50,"b""RT @rogersdoritos: Omg I'm sorry and I'm so confuse , is sexist if I hit you or is sexist if I don't hit you , the line is pretty blur \n#De\xe2\x80\xa6""",0,pos
68,68,2/22/2016 20:47,"b""Omg I'm sorry and I'm so confuse , is sexist if I hit you or is sexist if I don't hit you , the line is pretty blur \n#DeadpoolMovie""",0,pos
69,69,2/22/2016 20:47,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
70,70,2/22/2016 20:40,"b""W:  how you know that she's here?\nW: because i'm constantly stalking her fucks \n#DeadpoolMovie""",0,pos
71,71,2/22/2016 20:40,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
72,72,2/22/2016 20:32,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
73,73,2/22/2016 20:32,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
74,74,2/22/2016 20:31,b'RT @zak9attack: @TexasTechSPS with the DAB before Deadpool #DabPool #DeadpoolMovie https://t.co/JeOtndwXvY',0,pos
75,75,2/22/2016 20:29,"b""RT @InstallBase: You know what? #DeadpoolMovie humor reminds me of SpaceBalls and I F***in' LOVE SpaceBalls!!!""",0,pos
76,76,2/22/2016 20:28,"b""You know what? #DeadpoolMovie humor reminds me of SpaceBalls and I F***in' LOVE SpaceBalls!!!""",4,pos
77,77,2/22/2016 20:25,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
78,78,2/22/2016 20:24,b'RT @cinziaglambert: Hi @VancityReynolds I looked #DeadpoolMovie well... Amazing hahahah and you are a good actor \xf0\x9f\x98\x89\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99',0,pos
79,79,2/22/2016 20:23,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
80,80,2/22/2016 20:20,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
81,81,2/22/2016 20:16,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
82,82,2/22/2016 20:09,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
83,83,2/22/2016 20:05,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
84,84,2/22/2016 20:04,"b""Debating if I should watch #DeadpoolMovie again\n\nHahaha. There was no debate silly! It's on like Donkey Kong dot com https://t.co/krv7RlbsbV""",4,pos
85,85,2/22/2016 20:03,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
86,86,2/22/2016 20:00,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
87,87,2/22/2016 19:58,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
88,88,2/22/2016 19:54,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
89,89,2/22/2016 19:52,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
90,90,2/22/2016 19:52,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
91,91,2/22/2016 19:52,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
92,92,2/22/2016 19:51,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
93,93,2/22/2016 19:50,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0,pos
94,94,2/22/2016 19:49,b'@Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https://t.co/q49k4yCVn8',9,pos
95,95,2/22/2016 19:49,b'RT @joeygalletta: #Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',0,pos
96,96,2/22/2016 19:48,b'RT @joeygalletta: #Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',0,pos
97,97,2/22/2016 19:48,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
98,98,2/22/2016 19:47,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
99,99,2/22/2016 19:47,b'RT @joeygalletta: #Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',0,pos
100,100,2/22/2016 19:45,b'#Deadpool #DeadpoolMovie #PixelArt\nHappy Monday!! https://t.co/MvQ3miQqkC',2,pos
101,101,2/22/2016 19:41,b'RT @EviternalTattoo: Portrait Deadpool - Ryan Reynolds @VancityReynolds @Marvel @MarvelSpain #deadpool #DeadpoolMovie #marvel #art #draw ht\xe2\x80\xa6',0,pos
102,102,2/22/2016 19:32,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
103,103,2/22/2016 19:31,"b""RT @StonewolfGaming: If you haven't seen Deadpool yet, then go fucking watch it!! Seriously it's awesome as hell! #Deadpool #DeadpoolMovie""",0,pos
104,104,2/22/2016 19:31,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
105,105,2/22/2016 19:30,"b""If you haven't seen Deadpool yet, then go fucking watch it!! Seriously it's awesome as hell! #Deadpool #DeadpoolMovie""",0,pos
106,106,2/22/2016 19:28,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0,pos
107,107,2/22/2016 19:28,"b'RT @GeekOutpost: To be fair, Colossus did try to get him to keep it PG around Negasonic Teenage Warhead. #DeadpoolMovie https://t.co/zkT2yU\xe2\x80\xa6'",0,pos
108,108,2/22/2016 19:26,b'RT @ExtremeConsoles: #Deadpool week for us - check out this PS4 custom controller\n\n#DeadpoolMovie #superhero #ps4 #customcontroller #RT htt\xe2\x80\xa6',0,pos
109,109,2/22/2016 19:26,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
110,110,2/22/2016 19:26,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0,pos
111,111,2/22/2016 19:24,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0,pos
112,112,2/22/2016 19:23,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
113,113,2/22/2016 19:23,"b'RT @koalistcom: How ""#Deadpool"" Is Filmed ? https://t.co/VeACXNDhYl @deadpoolmovie #DeadpoolMovie #vfx #marvel https://t.co/g18Q27sra6'",0,pos
114,114,2/22/2016 19:22,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0,pos
115,115,2/22/2016 19:21,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
116,116,2/22/2016 19:19,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
117,117,2/22/2016 19:18,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
118,118,2/22/2016 19:15,"b'RT @koalistcom: How ""#Deadpool"" Is Filmed ? https://t.co/VeACXNDhYl @deadpoolmovie #DeadpoolMovie #vfx #marvel https://t.co/g18Q27sra6'",0,pos
119,119,2/22/2016 19:13,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
120,120,2/22/2016 19:12,"b'How ""#Deadpool"" Is Filmed ? https://t.co/VeACXNDhYl @deadpoolmovie #DeadpoolMovie #vfx #marvel https://t.co/g18Q27sra6'",1,pos
121,121,2/22/2016 19:11,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
122,122,2/22/2016 19:11,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
123,123,2/22/2016 19:09,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
124,124,2/22/2016 19:08,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
125,125,2/22/2016 19:00,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
126,126,2/22/2016 18:59,b'RT @TakeTshirt: DEADPOOL T-SHIRT... #deadpool #deadpoolmovie  https://t.co/E4nK7S00eA https://t.co/Dr2VPLEQtn',0,pos
127,127,2/22/2016 18:59,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
128,128,2/22/2016 18:58,b'DEADPOOL T-SHIRT... #deadpool #deadpoolmovie  https://t.co/E4nK7S00eA https://t.co/Dr2VPLEQtn',1,pos
129,129,2/22/2016 18:57,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0,pos
130,130,2/22/2016 18:55,b'RT @eclectik: Rated R works! #DeadpoolMovie https://t.co/PTQWK7fhi5',0,pos
131,131,2/22/2016 18:53,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0,pos
132,132,2/22/2016 18:47,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
133,133,2/22/2016 18:46,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
134,134,2/22/2016 18:45,"b'RT @deejayhyuga: Take your Kids to see #DeadpoolMovie I saw The Woods, Blade &amp; watch the Simpsons/ South Park when I was a kid. #90sBabies4'",0,pos
135,135,2/22/2016 18:44,"b""RT @darthsean85: \xf0\x9f\x98\x82 If you've seen #DeadpoolMovie you'll get this. #Deadpool https://t.co/yRM5tXSvWZ""",0,pos
136,136,2/22/2016 18:39,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
137,137,2/22/2016 18:37,"b""So I've seen #DeadpoolMovie 3 times..Its just as funny as it was the first time.  Definitely one of the best comic movies.""",1,pos
138,138,2/22/2016 18:35,b'RT @missbonekitty: Aw yeah #deadpoolmovie #deadpool https://t.co/ihFAK4kW7J',0,pos
139,139,2/22/2016 18:34,b'Aw yeah #deadpoolmovie #deadpool https://t.co/ihFAK4kW7J',17,pos
140,140,2/22/2016 18:29,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
141,141,2/22/2016 18:27,"b'""Mmm I\'m so touching myself tonight"" #DeadpoolMovie https://t.co/BjkvXOE3co'",3,pos
142,142,2/22/2016 18:22,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
143,143,2/22/2016 18:14,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
144,144,2/22/2016 18:01,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
145,145,2/22/2016 18:01,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
146,146,2/22/2016 17:59,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0,pos
