2016-02-22 23:10:40,b'RT @cancermatt2: @TrueAchievement Finally completed #Deadpool. Actually enjoyed it more than #DeadpoolMovie! #Marvel #superhero #videogames\xe2\x80\xa6',0
2016-02-22 23:06:44,"b""RT @ythelastpodcast: If you haven't yet, listen to our Deadpool Review! #Deadpoolmovie #review #SoundCloud  https://t.co/TBk4zM5rBS""",0
2016-02-22 23:05:56,b'#DeadpoolMovie was too sick \xf0\x9f\x98\x82\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb @webbyam98',1
2016-02-22 23:05:55,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
2016-02-22 23:05:43,"b""If you haven't yet, listen to our Deadpool Review! #Deadpoolmovie #review #SoundCloud  https://t.co/TBk4zM5rBS""",2
2016-02-22 23:04:31,b'RT @weoverachieve: The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https:\xe2\x80\xa6',0
2016-02-22 23:04:05,"b""@ItsNotRevenge @Master_Snow_ @mrjafri @The1stBAT @avgchick @Chrystaroth The movie's probably gonna make a lot of money #DeadpoolMovie ;)""",5
2016-02-22 23:03:03,b'RT @InstallBase: One more thing about #DeadpoolMovie I  liked and think other mask wearing heroes like #SpiderMan should emulate. Animation\xe2\x80\xa6',0
2016-02-22 23:00:23,b'One more thing about #DeadpoolMovie I  liked and think other mask wearing heroes like #SpiderMan should emulate. Animations around the eyes.',3
2016-02-22 22:58:14,b'RT @Body_in_Mind: #DeadpoolMovie featured the best single shot in a movie since the Matrix &amp; was a helluva lot funnier.',0
2016-02-22 22:57:23,b'#DeadpoolMovie featured the best single shot in a movie since the Matrix &amp; was a helluva lot funnier.',3
2016-02-22 22:53:17,b'RT @smutpunk_author: Get https://t.co/3mz46j6S4S for free when it has a $5.99 value #DealoftheDay #DeadpoolMovie #TrumpUrbanLegends',0
2016-02-22 22:51:09,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
2016-02-22 22:47:00,b'@TrueAchievement Finally completed #Deadpool. Actually enjoyed it more than #DeadpoolMovie! #Marvel #superhero #videogames #MilestoneMonday',1
2016-02-22 22:44:48,b'The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https://t.co/aSWLdzRAf0',6
2016-02-22 22:36:53,b'RT @MargieZGKETA: The different between #deadpoolmovie vs these other movies is that #DeadPool was more difficult to create.... https://t.c\xe2\x80\xa6',0
2016-02-22 22:30:16,"b'RT @DinoMorea9: #DeadpoolMovie is just superb, must have been a riot writing this script...#Hilarious take on #SuperHeroes...'",0
