id,date,tweet,fav
32,2/22/2016 23:04,b'RT @weoverachieve: The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https:\xe2\x80\xa6',0
33,2/22/2016 23:04,"b""@ItsNotRevenge @Master_Snow_ @mrjafri @The1stBAT @avgchick @Chrystaroth The movie's probably gonna make a lot of money #DeadpoolMovie ;)""",5
34,2/22/2016 23:03,b'RT @InstallBase: One more thing about #DeadpoolMovie I  liked and think other mask wearing heroes like #SpiderMan should emulate. Animation\xe2\x80\xa6',0
35,2/22/2016 23:00,b'One more thing about #DeadpoolMovie I  liked and think other mask wearing heroes like #SpiderMan should emulate. Animations around the eyes.',3
36,2/22/2016 22:58,b'RT @Body_in_Mind: #DeadpoolMovie featured the best single shot in a movie since the Matrix &amp; was a helluva lot funnier.',0
37,2/22/2016 22:57,b'#DeadpoolMovie featured the best single shot in a movie since the Matrix &amp; was a helluva lot funnier.',3
38,2/22/2016 22:53,b'RT @smutpunk_author: Get https://t.co/3mz46j6S4S for free when it has a $5.99 value #DealoftheDay #DeadpoolMovie #TrumpUrbanLegends',0
39,2/22/2016 22:51,b'RT @YithianMaster: @Master_Snow_ @ItsNotRevenge @FrankCastleTP @mrjafri @The1stBAT @avgchick @Chrystaroth spoilers #DeadpoolMovie ;) https:\xe2\x80\xa6',0
40,2/22/2016 22:47,b'@TrueAchievement Finally completed #Deadpool. Actually enjoyed it more than #DeadpoolMovie! #Marvel #superhero #videogames #MilestoneMonday',1
41,2/22/2016 22:44,b'The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https://t.co/aSWLdzRAf0',6
42,2/22/2016 22:36,b'RT @MargieZGKETA: The different between #deadpoolmovie vs these other movies is that #DeadPool was more difficult to create.... https://t.c\xe2\x80\xa6',0
43,2/22/2016 22:30,"b'RT @DinoMorea9: #DeadpoolMovie is just superb, must have been a riot writing this script...#Hilarious take on #SuperHeroes...'",0
44,2/22/2016 22:27,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
45,2/22/2016 22:19,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0
46,2/22/2016 22:14,b'RT @BlackPressMedia: B.C. movie tax breaks under scrutiny https://t.co/kmNZYb4P48 #bcpoli #DeadpoolMovie https://t.co/jpMxMP9nkM',0
47,2/22/2016 22:14,b'B.C. movie tax breaks under scrutiny https://t.co/kmNZYb4P48 #bcpoli #DeadpoolMovie https://t.co/jpMxMP9nkM',0
48,2/22/2016 22:02,"b""RT @TheHeungWeiLo: Debating if I should watch #DeadpoolMovie again\n\nHahaha. There was no debate silly! It's on like Donkey Kong dot com htt\xe2\x80\xa6""",0
49,2/22/2016 21:47,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
